Model Size Low,Model Size Median,Model Size High,Reported Parameters Low,Reported Parameters Median,Reported Parameters High,Best Fit Formula Parameters Low,Best Fit Formula Parameters Median,Best Fit Formula Parameters High,Standard Formula Parameters Low,Standard Formula Parameters Median,Standard Formula Parameters High,Training Compute (FLOP)
11.523467911983351,18.720550341668577,30.29816279625675,11.02926357532488,18.11425774150233,29.706307368747954,12.101303913203234,18.856707120896576,29.51435766691323,14.64493315000742,22.524466586781692,34.7962783986379,2.8183829312649564e+23
11.419839251840143,18.663252701791208,30.377090212071494,10.925900658250029,18.05755109493778,29.789100782870644,12.012124918609024,18.810001510542357,29.596800972383544,14.550581192731984,22.49542273690936,34.93512359973011,3.1622776601689484e+23
11.320767214558481,18.605403049381408,30.45979050719646,10.823501188875763,17.997337979325337,29.844812925484952,11.914105310170163,18.761472770693345,29.671215551351676,14.456837243659336,22.46778648826247,35.05377904682857,3.548133892336399e+23
11.225287278126954,18.55329798414445,30.54639036244541,10.72670892802875,17.936317841269286,29.909204841851768,11.81400293803161,18.710795348354033,29.758867516706673,14.363697383934806,22.43962068826596,35.20277219980893,3.981071705535702e+23
11.127131012730079,18.49886368952304,30.62377680089622,10.62849409991545,17.871673260809455,29.989863545174412,11.711410205781497,18.660628670156857,29.846695968624932,14.278700576625292,22.411474961461142,35.35112434253135,4.466835921510457e+23
11.031393735295698,18.445329008028203,30.700416388686346,10.533732991455935,17.808733052478935,30.061490500047288,11.621750795630776,18.614295775764322,29.925289621307837,14.183631208555601,22.37883287533434,35.497619132826905,5.011872336273658e+23
10.937099985540064,18.392866275507746,30.789414775454247,10.442924288288873,17.750373060677877,30.135893381316052,11.521960659194924,18.558262018093878,30.01250213973637,14.091200558917595,22.348903745231322,35.636856675707975,5.623413251904549e+23
10.843747723572822,18.3405808636518,30.876764832406387,10.343039314777416,17.692139794865007,30.214171982543547,11.429667426486729,18.499296712306602,30.102536725565702,13.997447506747385,22.32931220456132,35.790546341631455,6.30957344480313e+23
10.746081198274952,18.288839034681192,30.977136289390323,10.24791148154211,17.624787920002667,30.274129301874307,11.337173012305538,18.44885834385086,30.193991122246665,13.9064608001542,22.307496715516173,35.94657420050842,7.079457843842735e+23
10.649659811347515,18.236374198447884,31.06065010466242,10.150095239821994,17.56671532975426,30.343107288471366,11.24475076764016,18.40138899958736,30.275291725650465,13.814354432215271,22.281904078554,36.07494181521779,7.943282347244348e+23
10.562969055447486,18.18541074555155,31.145994786657145,10.055005859299792,17.505993638051116,30.42211352328392,11.152251877466066,18.35274245872406,30.362437845664125,13.730161325239399,22.25343197174992,36.21115651641724,8.91250938133919e+23
10.4754795053601,18.124268338083674,31.235585001345893,9.956113039693573,17.44824787415927,30.513965912643737,11.0634745846967,18.30618412696957,30.467873738431695,13.6449246177879,22.217361833429294,36.35263177775102,1.0000000000001963e+24
10.385485360577245,18.070802251863824,31.32234211543717,9.864437947069327,17.391709601127893,30.6028180608857,10.976393174039087,18.254186097426604,30.55204167544206,13.558847418714535,22.191454924677053,36.49199407227492,1.1220184543021856e+24
10.29789378118399,18.0163362762625,31.417226321705243,9.773745729903354,17.33265539130376,30.682668634506157,10.889096359881837,18.202954071668433,30.642613057454582,13.474201517277415,22.16612891240664,36.63189992848553,1.2589254117944184e+24
